lab_profile,organization,number,series,created,last_modified,status,platform
Introduction to Data Science,AI Nexus,2J,Advanced Developer Series,"December 17, 2011","May 5, 2012",Awaiting Verification,ESX
Agile Project Management,CyberCore,OOW2B,Cloud Mastery Series,"August 14, 2020","October 9, 2022",Complete,ESX
Cybersecurity Essentials,CyberCore,F,Cybersecurity Pathway,"December 10, 2021","February 11, 2024",In Development,ESX
Introduction to Data Science,DevForge,UE,Web Development Journey,"July 13, 2012","June 12, 2014",Awaiting Verification,ESX
Data Visualization with Python,NextGen Labs,MK9WR,Foundations of Technology,"March 6, 2024","March 20, 2024",Awaiting Verification,ESX
Big Data Analytics,InnoSoft,XP,Foundations of Technology,"January 24, 2023","September 5, 2024",Awaiting Verification,None | Azure
Web Development with JavaScript,CodeCrafters,GS2X,Cloud Mastery Series,"June 6, 2010","March 28, 2022",Complete,Hyper-V
Networking Concepts,SecureNet,E4WD,AI and Machine Learning Track,"June 10, 2014","February 28, 2021",Awaiting Verification,Hyper-V
Building Secure Web Applications,CloudSphere,W,DevOps Essentials,"October 8, 2018","October 11, 2020",Awaiting Verification,Hyper-V
AI for Beginners,DataMinds,7H,Data Science Bootcamp,"November 21, 2010","June 20, 2024",In Development,Hyper-V
Database Design and Management,CyberCore,ZF,Data Science Bootcamp,"November 27, 2016","November 25, 2023",Complete,Hyper-V
Data Visualization with Python,CodeCrafters,A,Data Science Bootcamp,"September 24, 2015","June 17, 2024",Awaiting Verification,Hyper-V
Linux Command Line Basics,CodeCrafters,ND8,Mobile Development Series,"September 28, 2014","November 12, 2020",Awaiting Verification,ESX
Cloud Computing Basics,AI Nexus,VT,Advanced Developer Series,"April 29, 2013","March 13, 2025",Awaiting Verification,ESX
Linux Command Line Basics,AI Nexus,1,DevOps Essentials,"March 2, 2018","September 13, 2022",In Development,ESX
Natural Language Processing,NextGen Labs,9C6I,Cybersecurity Pathway,"February 11, 2014","June 5, 2019",In Development,ESX
Web Development with JavaScript,CyberCore,ZGU,Mobile Development Series,"February 20, 2025","May 31, 2025",In Development,None
Web Development with JavaScript,CloudSphere,8TTB,Cybersecurity Pathway,"November 12, 2017","December 21, 2023",Complete,None
Introduction to Data Science,CodeCrafters,1X,DevOps Essentials,"November 14, 2010","May 18, 2021",In Development,Hyper-V
Blockchain Fundamentals,NextGen Labs,LC9KB,Web Development Journey,"July 1, 2016","July 13, 2019",In Development,ESX
Big Data Analytics,DataMinds,C33B2,Cybersecurity Pathway,"December 5, 2015","July 27, 2022",In Development,ESX
Building Secure Web Applications,DataMinds,ONSR,Web Development Journey,"February 2, 2019","July 22, 2024",In Development,Hyper-V
IoT and Embedded Systems,TechNova,OFG49,Advanced Developer Series,"December 21, 2011","April 10, 2019",Awaiting Verification,Hyper-V
Agile Project Management,TechNova,MLKGF,Cloud Mastery Series,"January 30, 2021","November 13, 2024",In Development,Hyper-V | Azure
Advanced Python Programming,CyberCore,O5UG7,Web Development Journey,"June 10, 2020","April 1, 2021",In Development,Hyper-V | Azure
Web Development with JavaScript,DataMinds,Q0S,Foundations of Technology,"February 12, 2012","October 22, 2014",Complete,Hyper-V
Advanced Python Programming,CyberCore,X,AI and Machine Learning Track,"May 9, 2025","June 7, 2025",Awaiting Verification,None | AWS
Big Data Analytics,InnoSoft,Q8,Cybersecurity Pathway,"October 1, 2024","April 24, 2025",In Development,None | Azure
Linux Command Line Basics,DevForge,M,Advanced Developer Series,"September 3, 2023","February 26, 2025",Awaiting Verification,None | Azure
AI for Beginners,CloudSphere,54BKH,Web Development Journey,"June 12, 2022","April 10, 2024",Complete,None | Azure
Blockchain Fundamentals,NextGen Labs,N,Cloud Mastery Series,"April 27, 2023","August 24, 2024",Complete,None | Azure
Advanced Python Programming,TechNova,6,Mobile Development Series,"October 17, 2018","October 26, 2024",Complete,Hyper-V | Azure
Big Data Analytics,CodeCrafters,C5LR,Web Development Journey,"May 27, 2014","March 7, 2017",Complete,None | AWS
Data Visualization with Python,DataMinds,38Q3S,DevOps Essentials,"July 17, 2023","October 10, 2024",In Development,Hyper-V | Azure
Web Development with JavaScript,InnoSoft,QQIF,Foundations of Technology,"February 3, 2015","April 10, 2018",In Development,None
Networking Concepts,AI Nexus,821,Web Development Journey,"August 29, 2024","April 13, 2025",Awaiting Verification,Hyper-V
Introduction to Data Science,CyberCore,SS1QG,Mobile Development Series,"February 5, 2014","February 11, 2017",Complete,Hyper-V | Azure
Advanced Python Programming,AI Nexus,E,Networking Academy,"January 13, 2021","October 28, 2022",Complete,None
AI for Beginners,DevForge,7,Foundations of Technology,"October 4, 2011","April 19, 2017",Complete,None
Web Development with JavaScript,NextGen Labs,A1,Foundations of Technology,"November 5, 2018","March 18, 2022",Complete,None
Version Control with Git,CloudSphere,4PRKU,Networking Academy,"May 3, 2011","January 14, 2023",Awaiting Verification,None
Machine Learning Fundamentals,CloudSphere,VD5,Foundations of Technology,"March 5, 2023","November 20, 2024",Awaiting Verification,None
Advanced Python Programming,CodeCrafters,MIKH,Advanced Developer Series,"April 28, 2019","October 25, 2019",Awaiting Verification,ESX
Mobile App Development,SecureNet,PVM,Cloud Mastery Series,"February 22, 2018","March 8, 2023",Complete,ESX
Networking Concepts,AI Nexus,8,Mobile Development Series,"September 12, 2021","November 3, 2021",Complete,ESX
Data Visualization with Python,CloudSphere,5,Cybersecurity Pathway,"August 2, 2022","October 17, 2023",Awaiting Verification,Hyper-V
Blockchain Fundamentals,CloudSphere,T,DevOps Essentials,"July 12, 2013","December 7, 2013",Complete,Hyper-V | Azure
Cloud Computing Basics,NextGen Labs,VCH,DevOps Essentials,"October 1, 2014","August 21, 2015",Complete,None | AWS
DevOps Practices and Tools,DataMinds,LJ03,Advanced Developer Series,"November 6, 2015","November 9, 2022",Awaiting Verification,None | AWS
Data Visualization with Python,NextGen Labs,SE7E,Mobile Development Series,"June 26, 2017","August 4, 2024",In Development,ESX
Blockchain Fundamentals,DataMinds,A,Web Development Journey,"June 23, 2012","March 15, 2017",In Development,Hyper-V | Azure
Networking Concepts,SecureNet,V,Cybersecurity Pathway,"June 11, 2022","March 9, 2025",Complete,Hyper-V | Azure
Data Visualization with Python,TechNova,9,Cybersecurity Pathway,"May 22, 2014","April 5, 2018",In Development,Hyper-V | Azure
Cybersecurity Essentials,InnoSoft,QA,Networking Academy,"September 5, 2015","March 1, 2017",In Development,ESX
Agile Project Management,DevForge,W,Networking Academy,"July 11, 2019","March 25, 2022",Complete,None
Data Visualization with Python,CloudSphere,GJ47C,Advanced Developer Series,"July 14, 2019","May 12, 2020",In Development,Docker
Introduction to Data Science,AI Nexus,0VX,AI and Machine Learning Track,"July 2, 2012","October 28, 2012",In Development,None
DevOps Practices and Tools,CyberCore,S9SB,Web Development Journey,"February 5, 2023","August 16, 2023",Complete,None
Natural Language Processing,SecureNet,SXZ8,Networking Academy,"April 21, 2024","January 8, 2025",Complete,None | AWS
Database Design and Management,CodeCrafters,G,Cloud Mastery Series,"March 21, 2022","February 16, 2024",Awaiting Verification,Hyper-V | Azure
Networking Concepts,DataMinds,68,DevOps Essentials,"August 26, 2019","October 10, 2020",In Development,ESX
Introduction to Data Science,TechNova,H7U,Cloud Mastery Series,"September 10, 2015","January 2, 2016",Awaiting Verification,Docker | AWS
Database Design and Management,DataMinds,M,Foundations of Technology,"January 30, 2024","March 31, 2025",In Development,ESX
Version Control with Git,NextGen Labs,2RYIE,Networking Academy,"April 4, 2016","June 5, 2018",In Development,ESX
Web Development with JavaScript,CodeCrafters,DX5CW,Networking Academy,"April 20, 2021","September 26, 2023",In Development,ESX
Advanced Python Programming,CodeCrafters,RO9B,DevOps Essentials,"February 13, 2023","October 12, 2023",Complete,ESX
Advanced Python Programming,CodeCrafters,W3XG,Mobile Development Series,"March 20, 2024","July 8, 2025",Awaiting Verification,Hyper-V | Azure
Cloud Computing Basics,DevForge,85,Web Development Journey,"December 3, 2021","August 24, 2024",Awaiting Verification,Hyper-V
Machine Learning Fundamentals,TechNova,X,Mobile Development Series,"April 12, 2019","April 16, 2023",In Development,Hyper-V
Building Secure Web Applications,DataMinds,IT,Data Science Bootcamp,"December 20, 2021","July 9, 2024",Awaiting Verification,ESX
Introduction to Data Science,DataMinds,86,Foundations of Technology,"November 4, 2014","January 18, 2015",In Development,ESX
Big Data Analytics,CodeCrafters,T1,Networking Academy,"March 23, 2012","April 24, 2023",Awaiting Verification,ESX
Mobile App Development,CloudSphere,1,Mobile Development Series,"August 8, 2016","August 18, 2021",Complete,ESX | AWS
Linux Command Line Basics,TechNova,0Z,Cybersecurity Pathway,"November 22, 2023","January 21, 2024",In Development,Hyper-V
Natural Language Processing,CloudSphere,M,Advanced Developer Series,"September 7, 2024","April 23, 2025",In Development,None | Azure
Big Data Analytics,AI Nexus,O2ME,AI and Machine Learning Track,"December 4, 2010","December 14, 2019",Awaiting Verification,None
Database Design and Management,CyberCore,UKL6,Cloud Mastery Series,"January 3, 2019","January 12, 2021",In Development,Hyper-V
Cybersecurity Essentials,CloudSphere,65,Networking Academy,"February 24, 2010","August 13, 2024",Complete,Hyper-V
Data Visualization with Python,CloudSphere,AA,AI and Machine Learning Track,"May 26, 2010","June 25, 2018",In Development,ESX
DevOps Practices and Tools,CloudSphere,D1,AI and Machine Learning Track,"November 4, 2013","October 14, 2016",In Development,Hyper-V | Azure
Networking Concepts,TechNova,L,Advanced Developer Series,"August 5, 2016","January 4, 2019",In Development,ESX
Building Secure Web Applications,CodeCrafters,O,Web Development Journey,"May 9, 2014","June 26, 2021",Complete,None | Azure
Networking Concepts,CodeCrafters,FS,Cybersecurity Pathway,"March 5, 2010","July 31, 2017",In Development,None | Azure
Advanced Python Programming,TechNova,OLRD7,Advanced Developer Series,"December 6, 2013","March 19, 2019",In Development,Hyper-V
Database Design and Management,CyberCore,1J5,DevOps Essentials,"January 21, 2011","August 15, 2011",Awaiting Verification,ESX
AI for Beginners,TechNova,ZSV5,Data Science Bootcamp,"January 6, 2025","February 6, 2025",Awaiting Verification,Hyper-V
Networking Concepts,SecureNet,FDCYX,Cloud Mastery Series,"February 9, 2020","January 18, 2021",In Development,ESX
Introduction to Data Science,AI Nexus,ICT9,Data Science Bootcamp,"September 28, 2024","May 24, 2025",In Development,Hyper-V
Web Development with JavaScript,CloudSphere,Q1,AI and Machine Learning Track,"August 23, 2011","July 25, 2021",Awaiting Verification,Hyper-V
Cloud Computing Basics,CodeCrafters,PX,Networking Academy,"October 25, 2022","August 9, 2023",In Development,ESX
Networking Concepts,AI Nexus,U9,Advanced Developer Series,"February 9, 2024","January 16, 2025",Complete,None | Azure
Agile Project Management,CloudSphere,Z3JU2,DevOps Essentials,"March 12, 2012","October 4, 2024",In Development,ESX
Version Control with Git,SecureNet,1MNZG,Advanced Developer Series,"November 3, 2015","June 6, 2024",Awaiting Verification,None
Agile Project Management,SecureNet,GK4U,Foundations of Technology,"February 8, 2022","July 17, 2022",In Development,ESX
Big Data Analytics,DevForge,JOED,Data Science Bootcamp,"April 16, 2024","May 29, 2024",In Development,Hyper-V
Introduction to Data Science,SecureNet,L,Cybersecurity Pathway,"November 23, 2023","January 30, 2025",Awaiting Verification,Hyper-V
Blockchain Fundamentals,InnoSoft,9Q,Mobile Development Series,"August 27, 2015","December 13, 2018",Awaiting Verification,Hyper-V | Azure
Agile Project Management,SecureNet,NC,Cloud Mastery Series,"December 21, 2013","January 3, 2023",Complete,Hyper-V | Azure
Version Control with Git,CloudSphere,YZLU,Foundations of Technology,"May 2, 2011","May 12, 2021",Awaiting Verification,None
Version Control with Git,CloudSphere,QZYQ0,Web Development Journey,"March 14, 2017","February 10, 2023",Complete,Hyper-V | Azure
Cybersecurity Essentials,CyberCore,8,Cloud Mastery Series,"June 27, 2014","June 22, 2015",Awaiting Verification,Hyper-V
Linux Command Line Basics,CloudSphere,JO,Data Science Bootcamp,"October 7, 2011","October 31, 2013",Complete,ESX
Cloud Computing Basics,SecureNet,W,DevOps Essentials,"December 23, 2020","January 16, 2021",Complete,Hyper-V
Blockchain Fundamentals,DataMinds,J,Cloud Mastery Series,"September 14, 2023","October 7, 2023",Complete,Hyper-V
Agile Project Management,TechNova,GW3,Web Development Journey,"January 4, 2024","January 22, 2024",Awaiting Verification,None
Natural Language Processing,CloudSphere,GWL,Cloud Mastery Series,"December 2, 2011","November 30, 2016",In Development,Hyper-V | Azure
Cloud Computing Basics,NextGen Labs,YDOZ,Data Science Bootcamp,"June 23, 2022","August 16, 2024",Complete,ESX
Agile Project Management,AI Nexus,H6,Web Development Journey,"December 14, 2023","December 16, 2024",Awaiting Verification,ESX
Version Control with Git,DevForge,FAP,AI and Machine Learning Track,"January 13, 2018","June 9, 2025",Awaiting Verification,ESX | AWS
IoT and Embedded Systems,CloudSphere,8NYS,Web Development Journey,"November 13, 2021","October 3, 2024",Awaiting Verification,ESX
Machine Learning Fundamentals,CyberCore,1QZ,Cloud Mastery Series,"August 23, 2015","July 7, 2017",Awaiting Verification,Hyper-V
Natural Language Processing,CodeCrafters,GZ,Cybersecurity Pathway,"January 10, 2024","September 21, 2024",In Development,None | AWS
DevOps Practices and Tools,CodeCrafters,HX48,Cybersecurity Pathway,"March 19, 2016","October 6, 2019",Complete,ESX
Data Visualization with Python,TechNova,Y,Foundations of Technology,"November 7, 2013","March 16, 2017",Complete,None | AWS
Advanced Python Programming,TechNova,CD,Networking Academy,"October 16, 2010","January 27, 2012",Awaiting Verification,Hyper-V | Azure
Machine Learning Fundamentals,InnoSoft,B,Networking Academy,"September 23, 2016","May 4, 2017",In Development,Hyper-V
Blockchain Fundamentals,InnoSoft,EDZN6,Web Development Journey,"August 31, 2024","February 13, 2025",In Development,Docker
IoT and Embedded Systems,TechNova,J2,Web Development Journey,"April 29, 2022","December 18, 2022",Complete,ESX
Blockchain Fundamentals,DataMinds,35I4Q,DevOps Essentials,"June 19, 2014","May 17, 2021",Awaiting Verification,Hyper-V
AI for Beginners,SecureNet,865,Cybersecurity Pathway,"December 7, 2011","July 24, 2012",Complete,Hyper-V
Networking Concepts,AI Nexus,ZN7RD,Cloud Mastery Series,"September 23, 2019","August 21, 2024",Complete,Hyper-V | Azure
Database Design and Management,TechNova,4DGP,Advanced Developer Series,"November 15, 2021","September 13, 2024",In Development,ESX
Networking Concepts,CyberCore,STWUV,Web Development Journey,"March 28, 2017","June 16, 2023",Awaiting Verification,Hyper-V
Machine Learning Fundamentals,InnoSoft,S4,Cybersecurity Pathway,"December 1, 2020","July 10, 2023",Complete,Hyper-V
AI for Beginners,TechNova,HV3,Networking Academy,"March 29, 2012","December 16, 2019",Complete,Hyper-V
Mobile App Development,CyberCore,XXL,Networking Academy,"April 4, 2023","October 30, 2023",Complete,Hyper-V
Advanced Python Programming,SecureNet,FXFK,DevOps Essentials,"July 2, 2025","July 11, 2025",Complete,Hyper-V | Azure
Cybersecurity Essentials,SecureNet,6C6,Networking Academy,"November 3, 2019","August 9, 2024",Awaiting Verification,Hyper-V
Networking Concepts,NextGen Labs,CV7IQ,Web Development Journey,"February 28, 2013","September 14, 2015",Awaiting Verification,Hyper-V
Introduction to Data Science,CloudSphere,N,DevOps Essentials,"July 5, 2014","February 18, 2022",In Development,Hyper-V
Linux Command Line Basics,CyberCore,2RIIF,Networking Academy,"March 17, 2016","May 4, 2020",In Development,Hyper-V
Cybersecurity Essentials,CloudSphere,9QL,Mobile Development Series,"December 20, 2010","November 20, 2017",In Development,None
Database Design and Management,TechNova,J9C,Data Science Bootcamp,"March 14, 2018","December 26, 2022",Awaiting Verification,Hyper-V | Azure
Advanced Python Programming,CodeCrafters,GM0W6,Cybersecurity Pathway,"November 27, 2013","March 30, 2015",Complete,Hyper-V
Cloud Computing Basics,InnoSoft,MYJ,Web Development Journey,"August 24, 2010","January 23, 2018",Complete,Hyper-V
Version Control with Git,CloudSphere,4N4,Foundations of Technology,"November 17, 2013","July 25, 2020",Complete,Hyper-V
Web Development with JavaScript,InnoSoft,OLZ8B,Web Development Journey,"March 4, 2012","October 15, 2020",Awaiting Verification,Hyper-V | Azure
Data Visualization with Python,NextGen Labs,2,DevOps Essentials,"December 26, 2014","April 22, 2022",In Development,Hyper-V
Database Design and Management,NextGen Labs,4CQU5,DevOps Essentials,"January 13, 2020","January 26, 2024",Complete,Hyper-V | Azure
Cybersecurity Essentials,AI Nexus,S,Web Development Journey,"June 21, 2010","January 3, 2013",Complete,Hyper-V | Azure
Introduction to Data Science,TechNova,Z26,Advanced Developer Series,"December 6, 2019","September 22, 2020",Complete,Hyper-V | Azure
Building Secure Web Applications,CodeCrafters,4,Data Science Bootcamp,"June 21, 2024","November 20, 2024",In Development,Hyper-V
Big Data Analytics,DevForge,AD,Advanced Developer Series,"December 17, 2022","March 27, 2023",Awaiting Verification,Hyper-V | Azure
Database Design and Management,AI Nexus,TV,Web Development Journey,"May 31, 2023","June 2, 2024",Complete,Hyper-V | Azure
Big Data Analytics,CodeCrafters,X96,Foundations of Technology,"August 14, 2012","August 31, 2024",Complete,Hyper-V | Azure
Agile Project Management,CyberCore,M,DevOps Essentials,"July 18, 2013","April 29, 2017",Awaiting Verification,Docker
Advanced Python Programming,TechNova,S57,Mobile Development Series,"February 10, 2011","July 8, 2016",In Development,Hyper-V
Natural Language Processing,DataMinds,QH,Cybersecurity Pathway,"September 30, 2013","February 21, 2025",Awaiting Verification,ESX
Data Visualization with Python,InnoSoft,I,DevOps Essentials,"December 22, 2024","February 6, 2025",Awaiting Verification,ESX
Networking Concepts,CyberCore,B5,Cybersecurity Pathway,"June 16, 2010","May 10, 2012",In Development,Hyper-V
Web Development with JavaScript,DevForge,YNN,Mobile Development Series,"April 6, 2024","May 7, 2025",Awaiting Verification,ESX
Machine Learning Fundamentals,DataMinds,Q3,Advanced Developer Series,"October 27, 2016","May 6, 2021",Awaiting Verification,ESX
DevOps Practices and Tools,TechNova,7B,Cloud Mastery Series,"February 2, 2024","January 4, 2025",Complete,ESX
Blockchain Fundamentals,CloudSphere,G,Web Development Journey,"December 19, 2015","October 27, 2024",Awaiting Verification,ESX
Introduction to Data Science,TechNova,W,Cloud Mastery Series,"August 13, 2016","December 3, 2019",Awaiting Verification,ESX
Building Secure Web Applications,CodeCrafters,7,Web Development Journey,"August 15, 2023","December 6, 2024",In Development,ESX
AI for Beginners,AI Nexus,S,AI and Machine Learning Track,"December 27, 2019","October 19, 2022",Complete,Hyper-V
Mobile App Development,SecureNet,8,Cloud Mastery Series,"May 21, 2016","September 1, 2020",Complete,Hyper-V
Web Development with JavaScript,SecureNet,HHGP3,Foundations of Technology,"February 12, 2020","April 21, 2025",Awaiting Verification,Hyper-V
Version Control with Git,CyberCore,QZ2I7,AI and Machine Learning Track,"May 12, 2018","December 26, 2018",In Development,ESX
Building Secure Web Applications,InnoSoft,GGHT,Advanced Developer Series,"June 5, 2025","June 15, 2025",In Development,ESX
Web Development with JavaScript,DevForge,YRM,DevOps Essentials,"September 26, 2012","September 18, 2017",Awaiting Verification,Hyper-V
Mobile App Development,CyberCore,LH3EI,Networking Academy,"October 1, 2021","September 26, 2024",Awaiting Verification,ESX
Cloud Computing Basics,DataMinds,D0H,AI and Machine Learning Track,"May 12, 2015","January 22, 2024",Awaiting Verification,ESX
